num,id,name,year,rank,average,bayes_average,users_rated,url,thumbnail
203,555,The Princes of Florence,2000,204,7.53,7.285,14776,/boardgame/555/princes-florence,https://cf.geekdo-images.com/yshiqrUPxndthguBgp3NKw__micro/img/XS2aIJpGaH7afM8nTt2s7BtryDg=/fit-in/64x64/filters:strip_icc()/pic1306997.jpg
932,823,The Lord of the Rings,2000,933,6.74,6.579,14750,/boardgame/823/lord-rings,https://cf.geekdo-images.com/y9fm5_x9oJ4nM-W-9WdKig__micro/img/1b8yq4dkTqeKOh-yQ09UiacBVpY=/fit-in/64x64/filters:strip_icc()/pic5510866.png
6682,2471,Zombies!!!,2001,6683,5.8,5.621,14720,/boardgame/2471/zombies,https://cf.geekdo-images.com/MLkRHrISvHx8plwBsCk9iw__micro/img/T4xkDjQCsVv6nCSQQAtSMdenYLg=/fit-in/64x64/filters:strip_icc()/pic2525171.jpg
77,182874,Grand Austria Hotel,2015,78,7.88,7.602,14715,/boardgame/182874/grand-austria-hotel,https://cf.geekdo-images.com/d4It-gdWY4GZVYSjbq20gQ__micro/img/zmZ-XLYa4qxusS-9osWBmPd9lQs=/fit-in/64x64/filters:strip_icc()/pic2728138.jpg
2088,131835,Boss Monster: The Dungeon Building Card Game,2013,2089,6.28,6.106,14706,/boardgame/131835/boss-monster-dungeon-building-card-game,https://cf.geekdo-images.com/VBwaHyx-NWL3VLcCWKRA0w__micro/img/-GpO03P2LimwRPJNj43gXjZ1DAw=/fit-in/64x64/filters:strip_icc()/pic1732644.jpg
137,43111,Chaos in the Old World,2009,138,7.68,7.407,14669,/boardgame/43111/chaos-old-world,https://cf.geekdo-images.com/yTe9522sHL-3nhfAMH2cTg__micro/img/KLaFtMCpPkj64VnhCnoXryGSaro=/fit-in/64x64/filters:strip_icc()/pic1318481.jpg
106,172287,Champions of Midgard,2015,107,7.76,7.486,14630,/boardgame/172287/champions-midgard,https://cf.geekdo-images.com/VJwOnMF5vwJg2Yaq6ozn3Q__micro/img/-RNDo77HZqz7-B__L7tFnYXCn8Q=/fit-in/64x64/filters:strip_icc()/pic2869714.jpg
101,155821,Inis,2016,102,7.81,7.507,14557,/boardgame/155821/inis,https://cf.geekdo-images.com/6QE8mnPFmauoj2THsyUYPA__micro/img/KzK9JEEodDn0EyHA8rJy2X0cyYA=/fit-in/64x64/filters:strip_icc()/pic4739757.jpg
510,155703,Evolution,2014,511,7.11,6.901,14543,/boardgame/155703/evolution,https://cf.geekdo-images.com/wo_EYno7S66psGPMl_JtiQ__micro/img/Iw4dBbb5esa4t5wlD7AdYiMqyAk=/fit-in/64x64/filters:strip_icc()/pic3543505.jpg
752,41,Can't Stop,1980,753,6.85,6.699,14493,/boardgame/41/cant-stop,https://cf.geekdo-images.com/JZpo3AnyFH4TqxKWFSFKGQ__micro/img/0QbseKbeBbtw9hCHurgPGJkpAJc=/fit-in/64x64/filters:strip_icc()/pic1046518.jpg
